id|label|vocoder|language|speaker|script
/GPT/wav/LJ040-0216.wav|fake|tts-1|English|fable|In view of his experiences when he visited his relatives in New Orleans in the spring of nineteen fifty, and his other solitary habits,
/LJSpeech/train/wav/LJ003-0091.wav|real|real|English|Constantly associated with these convicted felons were numbers of juveniles, infants of tender years.|
/GPT/wav/LJ039-0116.wav|fake|tts-1-hd|English|shimmer|he had just completed a very intensive preliminary training period.
/GPT/wav/LJ035-0145.wav|fake|tts-1-hd|English|shimmer|Within a minute after Baker and Truly left Oswald in the lunchroom, Mrs. R. A. Reid, clerical supervisor for the Texas School Book Depository,
/GPT/wav/LJ018-0021.wav|fake|tts-1|English|onyx|The facts of the murder and its object, robbery, were thus conclusively proved.
/LJSpeech/train/wav/LJ045-0028.wav|real|real|English|he and his wife spent every weekend but one together at the Irving, Texas home of Mrs. Ruth Paine, who was then separated from her husband.|
/LJSpeech/train/wav/LJ045-0176.wav|real|real|English|The next morning he left for work before anyone else arose.|
/LJSpeech/train/wav/LJ005-0261.wav|real|real|English|As a means of securing this uniformity,|
/GPT/wav/LJ036-0066.wav|fake|tts-1-hd|English|shimmer|He could not reach his roominghouse on the Marsalis bus, but the Beckley bus stopped across the street.
/GPT/wav/LJ010-0259.wav|fake|tts-1-hd|English|echo|a deformed lad among the crowd was seen to present a pistol at Her Majesty's carriage,
/GPT/wav/LJ028-0220.wav|fake|tts-1|English|fable|The inscription continues: I am Cyrus, king of the world.
/GPT/wav/LJ028-0291.wav|fake|tts-1-hd|English|shimmer|Wrath stirred within the King at the sight of a man of his lofty rank in such a condition;
/LJSpeech/train/wav/LJ019-0366.wav|real|real|English|It was necessary, for instance, to give due notice when the government grant was to be withdrawn,|
/LJSpeech/train/wav/LJ017-0225.wav|real|real|English|The latter had the watch on deck.|
/GPT/wav/LJ014-0329.wav|fake|tts-1|English|shimmer|and so developed his business that in one year his transactions amounted to a couple of millions of pounds.
/GPT/wav/LJ022-0131.wav|fake|tts-1|English|nova|If you will help, this can be done.
/LJSpeech/train/wav/LJ027-0130.wav|real|real|English|these evidences have been in the past thirty years somewhat overshadowed by the far more surprising evidences|
/LJSpeech/train/wav/LJ010-0090.wav|real|real|English|Hand-grenades were to be thrown into the dining-room, and during the noise and confusion the assassination of the ministers was to be completed,|
/GPT/wav/LJ008-0223.wav|fake|tts-1-hd|English|shimmer|"The approaching ceremony had evidently no terrors for these ""idolaters of the gallows."""
/LJSpeech/train/wav/LJ023-0079.wav|real|real|English|But since the rise of the modern movement for social and economic progress through legislation,|
/GPT/wav/LJ022-0084.wav|fake|tts-1-hd|English|shimmer|I next want to make it clear exactly how we shall direct the work.
/LJSpeech/train/wav/LJ028-0182.wav|real|real|English|and in five fifty-five Nabonidus, the father of the Biblical Belshazzar, came to the throne.|
/LJSpeech/train/wav/LJ030-0133.wav|real|real|English|Evaluating the political overtones, Kenneth O'Donnell was especially pleased|
/GPT/wav/LJ034-0013.wav|fake|tts-1|English|echo|"In front of this small carton and resting partially on the windowsill was another small ""Rolling Readers"" carton."
/GPT/wav/LJ009-0105.wav|fake|tts-1|English|echo|The sheriffs cover their faces, and one of their inquisitive friends blows his nose with his glove.
/GPT/wav/LJ035-0046.wav|fake|tts-1-hd|English|nova|I was coming out this one on the second floor, and I don't know, I was kind of sweeping this area as I come up, I was looking from right to left
/GPT/wav/LJ038-0019.wav|fake|tts-1-hd|English|alloy|She said, quote, No; by golly, he didn't, end quote, and turned around, but the man was nowhere in sight.
/GPT/wav/LJ013-0163.wav|fake|tts-1|English|shimmer|The housemaid summoned the cook, and both went to call the valet, Courvoisier,
/LJSpeech/train/wav/LJ032-0075.wav|real|real|English|with the address of post office box two nine one five in Dallas.|
/GPT/wav/LJ013-0082.wav|fake|tts-1-hd|English|alloy|In eighteen forty-four
/GPT/wav/LJ008-0123.wav|fake|tts-1-hd|English|alloy|"Sir, he answered, ""they sent me the very riff-raff."""
/GPT/wav/LJ008-0110.wav|fake|tts-1-hd|English|echo|The prisoners had not risen.
